,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","L1 Cache","L2 Cache","L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","PCI Express® Version","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Graphics Frequency","Graphics Model","Supported Technologies","AMD Ryzen™ AI","FIPS Certification","FIPS Certification Links"
,on,"AMD Ryzen™ 3 3200U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM3200C4T2OFG,n/a,"Q1 2019",2,4,3,2.6GHz,"Up to 3.5GHz",192KB,1MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 3 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 3 2300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2300C4T4MFB,n/a,1/8/2018,4,4,6,2.0GHz,"Up to 3.4GHz",384KB,2MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1100 MHz","Radeon™ Vega 6 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 3 2200U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2200C4T2OFB,n/a,1/8/2018,2,4,3,2.5GHz,"Up to 3.4GHz",384KB,1MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1100 MHz","Radeon™ Vega 3 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, DirectX® 12 Technology",,,
,on,"AMD Athlon™ Silver 7120U","AMD Athlon™ Processors","AMD Athlon™ Processors with Radeon™ Graphics",Laptop,100-000000772,,,2,2,2,2.4GHz,"Up to 3.5GHz",256KB,1MB,2MB,No,"TSMC 6nm FinFET",,"PCIe® 3.0",15W,,,"Windows 11 - 64-Bit Edition, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Athlon™ Silver 7120C","AMD Athlon™ Processors","AMD Athlon™ Processors",Laptop,100-000000776,,,2,2,2,2.4GHz,"Up to 3.5GHz",256KB,1MB,2MB,No,"TSMC 6nm FinFET",FT6,"PCIe® 3.0",15W,,,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Athlon™ Silver 3050e","AMD Athlon™ Processors","AMD Athlon™ Mobile Processors with Radeon™ Graphics",Laptop,YM3050C7T2OFG​,,1/6/2020,2,4,3,1.4GHz,"Up to 2.8GHz",,1MB,4MB,,14nm,,"PCIe® 3.0",6W,N/AW,,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1000 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™ Silver 3050U","AMD Athlon™ Processors","AMD Athlon™ Mobile Processors with Radeon™ Graphics",Laptop,YM3050C4T2OFG,,1/6/2020,2,2,2,2.3GHz,"Up to 3.2GHz",192KB,1MB,4MB,,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1100 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™ PRO 3145B","AMD Athlon™ PRO Processors","AMD Athlon™ PRO Mobile Processors with Radeon™ Graphics",Laptop,YM3145C4T2OFG,,Q12021,2,4,3,2.4GHz,"Up to 3.3GHz",196608KB,1MB,4MB,,14nm,FP5,"PCIe® 3.0",15W,12-25W,100°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1000 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™ PRO 3045B","AMD Athlon™ PRO Processors","AMD Athlon™ PRO Mobile Processors with Radeon™ Graphics",Laptop,YM3045C4T2OFG,,Q12021,2,2,2,2.3GHz,"Up to 3.2GHz",192KB,1MB,4MB,,14nm,FP5,"PCIe® 3.0",15W,12-25W,100°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1100 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics","AMD Athlon™ PRO Processors","AMD Athlon™ PRO Mobile Processors with Radeon™ Vega Graphics",Laptop,YM300BC4T2OFG,n/a,,2,4,3,2.4GHz,"Up to 3.3GHz",384KB,1MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1000 MHz","Radeon™ Vega 3 Graphics",,,,
,on,"AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics","AMD Athlon™ PRO Processors","AMD Athlon™ PRO Mobile Processors with Radeon™ Vega Graphics",Laptop,YM200UC4T2OFB,,,2,4,3,2.3GHz,"Up to 3.2GHz",192KB,1MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,105°C,,"Up to 2400MT/s",,2,"1000 MHz","Radeon™ Vega 3 Graphics",,,,
,on,"AMD Athlon™ Gold 7220U","AMD Athlon™ Processors","AMD Athlon™ Processors with Radeon™ Graphics",Laptop,100-000000771,,,2,4,2,2.4GHz,"Up to 3.7GHz",256KB,1MB,4MB,No,"TSMC 6nm FinFET",,"PCIe® 3.0",15W,,,"Windows 11 - 64-Bit Edition, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Athlon™ Gold 7220C","AMD Athlon™ Processors","AMD Athlon™ Processors",Laptop,100-000000775,,,2,4,2,2.4GHz,"Up to 3.7GHz",256KB,1MB,2MB,No,"TSMC 6nm FinFET",FT6,"PCIe® 3.0",15W,,,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Athlon™ Gold 3150U","AMD Athlon™ Processors","AMD Athlon™ Mobile Processors with Radeon™ Graphics",Laptop,YM3150C4T2OFG,,1/6/2020,2,4,3,2.4GHz,"Up to 3.3GHz",192KB,1MB,4MB,,14nm,FP5,,15W,12-25W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1000 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™ Gold 3150C","AMD Athlon™ Processors","AMD Athlon™ Mobile Processors with Radeon™ Graphics",Laptop,YM315CC4T2OFG,,9/22/2020,2,4,3,2.4GHz,"Up to 3.3GHz",192KB,1MB,4MB,No,14nm,FP5,,15W,12-25W,95°C,"ChromeOS, Windows 11 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.",,,,"1100 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™  Silver 3050C","AMD Athlon™ Processors","AMD Athlon™ Mobile Processors with Radeon™ Graphics",Laptop,YM305CC4T2OFG,,9/22/2020,2,2,2,2.3GHz,"Up to 3.2GHz",192KB,1MB,4MB,No,14nm,FP5,,15W,12-25W,95°C,"ChromeOS, Windows 11 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.",,,,"1100 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Athlon™ 300U","AMD Athlon™ Processors","AMD Athlon™ Mobile Processors with Radeon™ Vega Graphics",Laptop,YM300UC4T2OFG,,,2,4,3,2.4GHz,"Up to 3.3GHz",193KB,1MB,4MB,No,14nm,FP5,,15W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1000 MHz","Radeon™ Vega 3 Graphics","AMD SenseMI Technology, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD 3020e",AMD,"AMD 3000 Series Mobile Processors with Radeon™ Graphics",Laptop,YM3020C7T2OFG​,,1/6/2020,2,2,3,1.2GHz,"Up to 2.6GHz",,1MB,4MB,,14nm,,"PCIe® 3.0",6W,N/AW,,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1000 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD 3015e",AMD,"AMD 3000 Series Mobile Processors with Radeon™ Graphics",Laptop,AM3015BRP2OFJ,,7/6/2020,2,4,3,1.2GHz,"Up to 2.3GHz",,1MB,4MB,No,14nm,FT5,"PCIe® 3.0",6W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 1600MT/s",DDR4,1,"600 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD 3015Ce",AMD,"AMD 3000 Series Mobile Processors with Radeon™ Graphics",Laptop,AM301CBRP2OFJ,,4/29/2021,2,4,3,1.2GHz,"Up to 2.3GHz",,1MB,4MB,No,14nm,FT5,"PCIe® 3.0",6W,,105°C,"ChromeOS  *Operating System (OS) support will vary by manufacturer.","Up to 1600MT/s",DDR4,1,"600 MHz","Radeon™  Graphics",,,,
